Method,Class,Model Type,AUROC,AUPRC,F1,Accuracy
PATCHCORE,Hazelnut,Per-Class,1.0,1.0,0.9896907216494846,0.9887640449438202
PATCHCORE,Hazelnut,Global,1.0,1.0,1.0,1.0
PATCHCORE,Carpet,Per-Class,0.9450113378684807,0.9787828425323584,0.8888888888888888,0.8461538461538461
PATCHCORE,Carpet,Global,0.967687074829932,0.9885019070551304,0.9508196721311475,0.9340659340659341
PATCHCORE,Zipper,Per-Class,0.9888392857142857,0.9954949709588203,0.9824561403508771,0.9741379310344828
PATCHCORE,Zipper,Global,0.984375,0.994185358711756,0.9595375722543352,0.9396551724137931
PADIM,Hazelnut,Per-Class,0.9709183673469387,0.9746250707642262,0.8666666666666667,0.8651685393258427
PADIM,Hazelnut,Global,0.8413265306122449,0.8370871628936891,0.7472527472527473,0.7415730337078652
PADIM,Carpet,Per-Class,0.9586167800453514,0.9844830153565387,0.9230769230769231,0.9010989010989011
PADIM,Carpet,Global,0.9223356009070295,0.970078274173763,0.8739495798319328,0.8351648351648352
PADIM,Zipper,Per-Class,0.8616071428571429,0.9419245840802596,0.8953488372093024,0.8448275862068966
PADIM,Zipper,Global,0.8683035714285714,0.9356299278842307,0.9273743016759777,0.8879310344827587
